iter	Passed	Remaining
288	651	1601
289	652	1597
290	655	1596
291	657	1593
292	658	1589
293	659	1584
294	689	1646
295	690	1643
296	692	1639
297	695	1637
298	696	1633
299	707	1651
300	709	1647
301	711	1644
302	712	1640
303	714	1635
304	715	1630
305	716	1625
306	719	1624
307	721	1620
308	722	1615
309	723	1611
310	725	1606
311	726	1602
312	728	1597
313	729	1593
314	730	1589
315	732	1584
316	734	1582
317	736	1579
318	737	1574
319	739	1570
320	740	1566
321	741	1561
322	742	1556
323	744	1552
324	745	1547
325	746	1542
326	747	1538
327	750	1537
328	751	1532
329	752	1528
330	753	1523
331	755	1519
332	756	1514
333	757	1510
334	758	1505
335	759	1501
336	760	1496
337	761	1492
338	765	1492
339	766	1488
340	768	1484
341	769	1480
342	770	1475
343	771	1471
344	772	1467
345	774	1463
346	775	1459
347	776	1454
348	780	1456
349	782	1452
350	783	1448
351	784	1443
352	785	1439
353	786	1435
354	787	1431
355	788	1426
356	789	1422
357	790	1418
358	792	1414
359	795	1413
360	796	1409
361	797	1405
362	798	1401
363	799	1397
364	800	1393
365	802	1389
366	803	1385
367	804	1381
368	805	1377
369	806	1374
370	808	1370
371	812	1371
372	814	1368
373	815	1364
374	816	1361
375	817	1356
376	818	1352
377	820	1350
378	822	1346
379	823	1343
380	825	1340
381	826	1337
382	827	1333
383	829	1329
384	830	1326
385	831	1322
386	832	1318
387	833	1314
388	834	1311
389	835	1307
390	836	1303
391	838	1300
392	840	1298
393	842	1295
394	843	1291
395	844	1287
396	846	1285
397	847	1282
398	850	1280
399	851	1277
400	852	1273
401	854	1270
402	858	1271
403	859	1267
404	861	1264
405	862	1261
406	864	1259
407	865	1256
408	867	1253
409	868	1250
410	872	1249
411	873	1246
412	874	1243
413	876	1240
414	878	1238
415	879	1235
416	881	1231
417	882	1228
418	884	1226
419	887	1225
420	888	1222
421	890	1219
422	892	1216
423	893	1214
424	895	1211
425	896	1208
426	899	1206
427	903	1207
428	905	1204
429	907	1203
430	909	1200
431	910	1196
432	911	1194
433	913	1191
434	914	1188
435	919	1189
436	921	1187
437	923	1184
438	924	1181
439	926	1178
440	927	1175
441	929	1172
442	930	1170
443	934	1169
444	935	1166
445	937	1164
446	938	1161
447	940	1158
448	941	1155
449	943	1152
450	944	1149
451	945	1146
452	949	1145
453	951	1143
454	952	1141
455	954	1138
456	955	1135
457	956	1132
458	958	1129
459	959	1126
460	961	1124
461	965	1123
462	966	1121
463	968	1118
464	971	1117
465	973	1115
466	974	1112
467	976	1110
468	1015	1150
469	1017	1147
470	1018	1144
471	1039	1162
472	1042	1161
473	1049	1164
474	1051	1162
475	1053	1160
476	1067	1170
477	1084	1184
478	1119	1217
479	1121	1214
480	1123	1212
481	1127	1211
482	1129	1208
483	1130	1205
484	1132	1202
485	1134	1199
486	1136	1196
487	1138	1194
488	1140	1191
489	1142	1189
490	1145	1187
491	1151	1189
492	1156	1189
493	1162	1190
494	1168	1191
495	1170	1188
496	1174	1188
497	1176	1185
498	1178	1182
499	1180	1180
500	1181	1176
501	1182	1173
502	1184	1170
503	1186	1167
504	1190	1166
505	1192	1163
506	1193	1160
507	1195	1157
508	1196	1154
509	1198	1151
510	1199	1148
511	1204	1148
512	1206	1144
513	1207	1141
514	1209	1138
515	1210	1135
516	1211	1132
517	1213	1128
518	1214	1125
519	1216	1122
520	1219	1120
521	1220	1117
522	1221	1114
523	1223	1111
524	1224	1108
525	1226	1105
526	1227	1101
527	1229	1098
528	1243	1107
529	1247	1106
530	1249	1103
531	1252	1102
532	1254	1098
533	1256	1096
534	1268	1102
535	1270	1099
536	1271	1096
537	1272	1093
538	1274	1089
539	1275	1086
540	1277	1083
541	1278	1080
542	1280	1077
543	1283	1076
544	1285	1073
545	1287	1070
546	1290	1068
547	1298	1071
548	1300	1068
549	1302	1065
550	1305	1063
551	1307	1060
552	1308	1057
553	1311	1055
554	1314	1054
555	1316	1051
556	1318	1048
557	1320	1045
558	1321	1042
559	1323	1039
560	1325	1036
561	1326	1033
562	1330	1032
563	1332	1029
564	1333	1026
565	1335	1023
566	1336	1020
567	1337	1017
568	1339	1014
569	1340	1011
570	1342	1008
571	1347	1007
572	1348	1005
573	1350	1002
574	1352	999
575	1353	996
576	1355	993
577	1356	990
578	1358	987
579	1360	984
580	1361	981
581	1363	978
582	1364	976
583	1366	973
584	1367	970
585	1369	967
586	1370	964
587	1373	962
588	1374	959
589	1376	956
590	1377	953
591	1378	950
592	1380	947
593	1382	944
594	1384	942
595	1386	940
596	1388	937
597	1390	934
598	1391	931
599	1393	928
600	1394	925
601	1396	923
602	1397	920
603	1401	919
604	1403	916
605	1404	913
606	1406	910
607	1407	907
608	1409	905
609	1411	902
610	1416	902
611	1418	899
612	1420	896
613	1421	893
614	1423	891
615	1425	888
616	1426	885
617	1430	884
618	1433	882
619	1436	880
620	1440	879
621	1441	876
622	1442	873
623	1447	872
624	1449	869
625	1450	866
626	1452	863
627	1453	860
628	1454	857
629	1455	854
630	1456	851
631	1457	848
632	1459	845
633	1461	843
634	1463	841
635	1464	838
636	1465	835
637	1466	832
638	1467	829
639	1469	826
640	1470	823
641	1471	820
642	1472	817
643	1474	814
644	1477	813
645	1478	810
646	1479	807
647	1481	804
648	1482	801
649	1483	798
650	1484	795
651	1485	793
652	1486	790
653	1489	788
654	1492	786
655	1493	783
656	1494	780
657	1496	777
658	1497	774
659	1498	771
660	1499	769
661	1501	766
662	1502	763
663	1503	760
664	1504	757
665	1507	755
666	1509	753
667	1510	750
668	1512	748
669	1514	745
670	1515	742
671	1516	740
672	1517	737
673	1518	734
674	1520	731
675	1522	729
676	1524	727
677	1525	724
678	1526	721
679	1527	718
680	1533	718
681	1535	716
682	1538	714
683	1541	712
684	1543	709
685	1544	706
686	1546	704
687	1547	701
688	1550	699
689	1551	696
690	1554	695
691	1556	692
692	1557	689
693	1558	687
694	1559	684
695	1561	682
696	1562	679
697	1564	676
698	1565	673
699	1566	671
700	1569	669
701	1570	666
702	1571	664
703	1573	661
704	1574	658
705	1575	656
706	1576	653
707	1577	650
708	1578	648
709	1579	645
710	1581	642
711	1585	641
712	1586	638
713	1587	636
714	1588	633
715	1590	630
716	1591	628
717	1592	625
718	1593	622
719	1594	620
720	1596	617
721	1597	615
722	1601	613
723	1602	610
724	1603	608
725	1604	605
726	1606	603
727	1607	600
728	1608	597
729	1609	595
730	1610	592
731	1611	590
732	1612	587
733	1616	585
734	1617	583
735	1619	580
736	1620	578
737	1621	575
738	1622	573
739	1623	570
740	1624	567
741	1625	565
742	1626	562
743	1628	560
744	1632	558
745	1634	556
746	1635	553
747	1636	551
748	1637	548
749	1638	546
750	1639	543
751	1641	541
752	1642	538
753	1643	536
754	1646	534
755	1648	531
756	1649	529
757	1650	526
758	1651	524
759	1652	521
760	1655	519
761	1656	517
762	1657	514
763	1659	512
764	1662	510
765	1663	508
766	1665	505
767	1666	503
768	1667	500
769	1668	498
770	1669	495
771	1670	493
772	1671	490
773	1672	488
774	1674	486
775	1676	484
776	1678	481
777	1679	479
778	1680	476
779	1681	474
780	1682	471
781	1683	469
782	1684	466
783	1685	464
784	1688	462
785	1689	459
786	1692	458
787	1694	455
788	1695	453
789	1696	450
790	1698	448
791	1699	446
792	1703	444
793	1705	442
794	1708	440
795	1709	438
796	1710	435
797	1712	433
798	1713	430
799	1714	428
800	1715	426
801	1716	423
802	1717	421
803	1719	419
804	1720	416
805	1725	415
806	1727	413
807	1728	410
808	1731	408
809	1732	406
810	1733	404
811	1734	401
812	1735	399
813	1740	397
814	1741	395
815	1742	392
816	1743	390
817	1745	388
818	1747	386
819	1748	383
820	1750	381
821	1751	379
822	1754	377
823	1756	375
824	1757	372
825	1759	370
826	1761	368
827	1762	366
828	1763	363
829	1764	361
830	1765	359
831	1766	356
832	1770	354
833	1772	352
834	1773	350
835	1774	348
836	1775	345
837	1777	343
838	1778	341
839	1780	339
840	1781	336
841	1782	334
842	1787	332
843	1789	330
844	1790	328
845	1791	326
846	1792	323
847	1794	321
848	1796	319
849	1797	317
850	1800	315
851	1801	312
852	1803	310
853	1804	308
854	1805	306
855	1806	303
856	1807	301
857	1808	299
858	1809	297
859	1810	294
860	1812	292
861	1813	290
862	1816	288
863	1817	286
864	1819	283
865	1820	281
866	1821	279
867	1822	277
868	1824	274
869	1825	272
870	1826	270
871	1827	268
872	1828	266
873	1832	264
874	1833	261
875	1834	259
876	1835	257
877	1836	255
878	1839	253
879	1840	250
880	1841	248
881	1842	246
882	1843	244
883	1846	242
884	1848	240
885	1849	237
886	1850	235
887	1851	233
888	1852	231
889	1853	229
890	1854	226
891	1855	224
892	1857	222
893	1858	220
894	1859	218
895	1862	216
896	1863	213
897	1865	211
898	1867	209
899	1868	207
900	1869	205
901	1870	203
902	1871	201
903	1872	198
904	1874	196
905	1877	194
906	1880	192
907	1889	191
908	1892	189
909	1894	187
910	1896	185
911	1897	183
912	1899	180
913	1900	178
914	1902	176
915	1903	174
916	1909	172
917	1910	170
918	1912	168
919	1913	166
920	1915	164
921	1916	162
922	1917	159
923	1918	157
924	1919	155
925	1924	153
926	1925	151
927	1927	149
928	1928	147
929	1929	145
930	1930	143
931	1931	140
932	1933	138
933	1934	136
934	1938	134
935	1940	132
936	1941	130
937	1942	128
938	1943	126
939	1944	124
940	1946	122
941	1947	119
942	1949	117
943	1950	115
944	1953	113
945	1955	111
946	1957	109
947	1958	107
948	1960	105
949	1963	103
950	1965	101
951	1966	99
952	1968	97
953	1971	95
954	1973	92
955	1975	90
956	1976	88
957	1977	86
958	1978	84
959	1979	82
960	1982	80
961	1984	78
962	1985	76
963	1986	74
964	1987	72
965	1989	70
966	1990	67
967	1991	65
968	1992	63
969	1993	61
970	1994	59
971	1998	57
972	1999	55
973	2001	53
974	2002	51
975	2003	49
976	2005	47
977	2006	45
978	2007	43
979	2008	40
980	2009	38
981	2013	36
982	2015	34
983	2016	32
984	2017	30
985	2018	28
986	2019	26
987	2020	24
988	2021	22
989	2023	20
990	2024	18
991	2025	16
992	2027	14
993	2029	12
994	2030	10
995	2031	8
996	2033	6
997	2034	4
998	2035	2
999	2036	0
